"INDEX_NR","OPID","OPERATOR","ATYPE","AMA","AMO","EMA","EMO","AC_CLASS","AC_MASS","NUM_ENGS","TYPE_ENG","ENG_1_POS","ENG_2_POS","ENG_3_POS","ENG_4_POS","REG","FLT","REMAINS_COLLECTED","REMAINS_SENT","INCIDENT_DATE","INCIDENT_MONTH","INCIDENT_YEAR","TIME_OF_DAY","TIME","AIRPORT_ID","AIRPORT","STATE","FAAREGION","ENROUTE","RUNWAY","LOCATION","HEIGHT","SPEED","DISTANCE","PHASE_OF_FLT","DAMAGE","STR_RAD","DAM_RAD","STR_WINDSHLD","DAM_WINDSHLD","STR_NOSE","DAM_NOSE","STR_ENG1","DAM_ENG1","STR_ENG2","DAM_ENG2","STR_ENG3","DAM_ENG3","STR_ENG4","DAM_ENG4","INGESTED","STR_PROP","DAM_PROP","STR_WING_ROT","DAM_WING_ROT","STR_FUSE","DAM_FUSE","STR_LG","DAM_LG","STR_TAIL","DAM_TAIL","STR_LGHTS","DAM_LGHTS","STR_OTHER","DAM_OTHER","OTHER_SPECIFY","EFFECT","EFFECT_OTHER","SKY","PRECIP","SPECIES_ID","SPECIES","BIRDS_SEEN","BIRDS_STRUCK","SIZE","WARNED","COMMENTS","REMARKS","AOS","COST_REPAIRS","COST_OTHER","COST_REPAIRS_INFL_ADJ","COST_OTHER_INFL_ADJ","REPORTED_NAME","REPORTED_TITLE","REPORTED_DATE","SOURCE","PERSON","NR_INJURIES","NR_FATALITIES","LUPDATE","TRANSFER","INDICATED_DAMAGE"
13568,"MIL","MILITARY","UNKNOWN",,,,,,,,,,,,,,,0,0,"5/8/09, 12:00:00 AM",5,2009,"Night",100,"KPIT","PITTSBURGH INTL ARPT","PA","AEA",,,,,140,,"Approach","N",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,"UNKBM","Unknown bird - medium",,,"Medium",,"SOURCE = BASH NR xxxxxx",,,,0,,0,"Deleted","Deleted",,"BASH",,,,"10/21/09, 12:00:00 AM",0,0
1356,"MIL","MILITARY","F-16","561",,,,"A",,,,,,,,,,0,0,"8/1/95, 12:00:00 AM",8,1995,"Day",1030,"KGTF","GREAT FALLS INTL","MT","ANM",,,,2000,250,,"Approach","N",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,"UNKBM","Unknown bird - medium","1","1","Medium",,"SOURCE = BASH NR xxxxx","REMARKS -  10 MILES NO OF ARPT;  AIRCRAFT -  F - 16 - ;  IMPACT -  CANOPY;  NUMBER OF BIRDS (S, F, or Z) -  S",,,,,,"Deleted","Deleted","5/19/00, 12:00:00 AM","BASH",,,,"10/21/09, 12:00:00 AM",0,0
1043,"MIL","MILITARY","AT-38B",,,,,"A",,,,,,,,,,0,0,"7/27/90, 12:00:00 AM",7,1990,"Day",1540,"KSUX","SIOUX GATEWAY ARPT/COL. BUD DAY FIELD","IA","ACE",,,,500,150,,"Approach","N",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,,,"UNKBM","Unknown bird - medium",,,"Medium",,"SOURCE = BASH NR xxxxx","REMARKS -  ;  AIRCRAFT -  AT - 38 - ;  IMPACT -  LANDING LIGHTS;  NUMBER OF BIRDS (S, F, or Z) -",,,,,,"Deleted","Deleted","5/19/00, 12:00:00 AM","BASH",,,,"10/21/09, 12:00:00 AM",0,0
2443,"MIL","MILITARY","A-10A","345",,"22",,"A","3","2","D",,,,,,,1,1,"8/26/98, 12:00:00 AM",8,1998,"Day",1000,"KBAF","BARNES MUNICIPAL ARPT","MA","ANE",,,,0,140,0,"Take-off run","N",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,"YI010","Tree swallow","2-10","2-10","Small",,"SOURCE = BASH NR xxxxx","REMARKS -  ;  AIRCRAFT -  A - 10 - A;  IMPACT -  ;  NUMBER OF BIRDS (S, F, or Z) -  F",,,,,,"Deleted","Deleted","5/19/00, 12:00:00 AM","BASH",,,,"10/21/09, 12:00:00 AM",0,0
1181,"MIL","MILITARY","T-1A","748",,"31","01","A","3","2","D","5","5",,,,,1,1,"9/14/93, 12:00:00 AM",9,1993,"Day",1035,"KPUB","PUEBLO MEMORIAL ARPT","CO","ANM",,,,,120,,"Climb","N",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,"YH004","Horned lark","1","1","Small",,"SOURCE = BASH NR xxxxx","REMARKS -  RUNWAY 26 PUB;  AIRCRAFT -  T - 1 - ;  IMPACT -  WINDSCREEN;  NUMBER OF BIRDS (S, F, or Z) -  S",,,,,,"Deleted","Deleted","5/19/00, 12:00:00 AM","BASH",,,,"10/21/09, 12:00:00 AM",0,0
2484,"MIL","MILITARY","F-16","561",,,,"A",,,,,,,,,,1,1,"4/20/92, 12:00:00 AM",4,1992,"Day",1600,"KFSM","FORT SMITH REGIONAL ARPT","AR","ASW",,,,500,200,,"Approach","N",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,"K1002","Turkey vulture","1","1","Large",,"SOURCE = BASH NR xxxxx","REMARKS -  REMAINS SENT 4/21/92;  AIRCRAFT -  F - 16 - ;  IMPACT -  RIGHT WING;  NUMBER OF BIRDS (S, F, or Z) -  S",,,,,,"Deleted","Deleted","5/19/00, 12:00:00 AM","BASH",,,,"10/21/09, 12:00:00 AM",0,0
13875,"MIL","MILITARY","UNKNOWN",,,,,,,,,,,,,,,0,0,"2/3/10, 12:00:00 AM",2,2010,"Day",1100,"KBTL","W K KELLOGG ARPT","MI","AGL",,,,,,,"Landing","N",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,"UNKBM","Unknown bird - medium",,,"Medium",,"SOURCE = BASH NR xxxxxx",,,,0,,0,"Deleted","Deleted",,"BASH",,,,"5/28/10, 12:00:00 AM",0,0
13434,"MIL","MILITARY","UNKNOWN",,,,,,,,,,,,,,,0,0,"6/15/09, 12:00:00 AM",6,2009,"Day",1515,"KSYR","SYRACUSE HANCOCK INTL","NY","AEA",,,,,105,,"Landing","N",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,"UNKBM","Unknown bird - medium",,,"Medium",,"SOURCE = BASH NR xxxxxx",,,,0,,0,"Deleted","Deleted",,"BASH",,,,"10/21/09, 12:00:00 AM",0,0
15384,"MIL","MILITARY","UNKNOWN",,,,,,,,,,,,,,,0,0,"6/1/11, 12:00:00 AM",6,2011,,840,"KRME","GRIFFISS INTL","NY","AEA",,,,0,,,"Landing","N",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,"UNKB","Unknown bird",,,,,"SOURCE = BASH NR xxxxxx",,,,0,,0,"Deleted","Deleted",,"BASH",,,,"11/7/11, 12:00:00 AM",0,0
1260,"MIL","MILITARY","T-38A",,,,,"A",,,,,,,,,,0,0,"10/26/92, 12:00:00 AM",10,1992,"Day",745,"KLBB","LUBBOCK PRESTON SMITH INTL ARPT","TX","ASW",,,,0,150,0,"Landing Roll","N",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,"UNKBM","Unknown bird - medium","1","1","Medium",,"SOURCE = BASH NR xxxxx","REMARKS -  FOUND ON WALK-A-ROUND.;  AIRCRAFT -  T - 38 - ;  IMPACT -  LEFT FLAP;  NUMBER OF BIRDS (S, F, or Z) -  S",,,,,,"Deleted","Deleted","5/19/00, 12:00:00 AM","BASH",,,,"10/21/09, 12:00:00 AM",0,0
