Sample ID,Sample Date,Beach Name,Sample Location,Enterococci Results,Units or Notes
071712GR12,07/17/2012,DANISH AMERICAN BEACH CLUB,Right,92.0,MPN/100 ml
090506BH14,09/05/2006,CONEY ISLAND WEST 16TH - WEST 27TH,Center,,Result below detection limit
062607GR04,06/26/2007,MANHATTAN BEACH,Left,12.0,MPN/100 ml
070108GR09,07/01/2008,ROCKAWAY BEACH 15TH - 22TH,Center,,Result below detection limit
070108IM15,07/01/2008,MANHEM BEACH CLUB,Right,,Result below detection limit
050107IM07,05/01/2007,TRINITY DANISH YOUNG PEOPLE'S SOCIETY,Left,,Result below detection limit
071607BH21,07/16/2007,WHITE CROSS FISHING CLUB,Right,4.0,MPN/100 ml
072506NG02,07/25/2006,SOUTH BEACH,Center,4.0,MPN/100 ml
082007BH18,08/20/2007,WHITE CROSS FISHING CLUB,Right,,Result below detection limit
061714GR10,06/17/2014,DANISH AMERICAN BEACH CLUB,Left,44.0,MPN/100 ml
090506BH18,09/05/2006,SEAGATE BEACH - 42ND STREET,Right,8.0,MPN/100 ml
042914KB15,04/29/2014,MORRIS YACHT AND BEACH CLUB,Right,8.0,MPN/100 ml
060214CP01,06/02/2014,CONEY ISLAND WEST 28TH - WEST 37TH,Center,,Result below detection limit
072311GR04,07/23/2011,CONEY ISLAND WEST 28TH - WEST 37TH,Center,,Result below detection limit
061213KB14,06/12/2013,WEST FORDHAM STREET ASSOCIATION,Center,84.0,MPN/100 ml
070913CP08,07/09/2013,CONEY ISLAND WEST 28TH - WEST 37TH,Center,,Result below detection limit
081711GR08,08/17/2011,MANHATTAN BEACH,Center,4.0,MPN/100 ml
050813KB05,05/08/2013,WOLFE'S POND PARK,Center,32.0,MPN/100 ml
080910GR03,08/09/2010,GERRITSEN/KIDDIE BEACH,Right,16.0,MPN/100 ml
081811GR14,08/18/2011,MANHEM BEACH CLUB,Center,4.0,MPN/100 ml
042109IM14,04/21/2009,MANHEM BEACH CLUB,Center,640.0,MPN/100 ml
082905BH26,08/29/2005,ORCHARD BEACH,Center,,Result below detection limit
071107BH04,07/11/2007,SI YMCA OF GREATER NEW YORK,Left,8.0,MPN/100 ml
052609KB02,05/26/2009,WHITESTONE BOOSTER CIVIC  ASSOCIATION,Center,180.0,MPN/100 ml
081710SG12,08/17/2010,SI YMCA OF GREATER NEW YORK,Left,640.0,MPN/100 ml
060915GR15,06/09/2015,MANHEM BEACH CLUB,Right,16.0,MPN/100 ml
082113CP06,08/21/2013,CEDAR GROVE,Right,68.0,MPN/100 ml
090909IM12,09/09/2009,DANISH AMERICAN BEACH CLUB,Right,12.0,MPN/100 ml
082812GR10,08/28/2012,CONEY ISLAND WEST 8TH - PIER,Center,,Result below detection limit
090407BH13,09/04/2007,CONEY ISLAND WEST 16TH - WEST 27TH,Center,4.0,MPN/100 ml
050310KB09,05/03/2010,MIDLAND BEACH,Right,92.0,MPN/100 ml
061206IM01,06/12/2006,MORRIS YACHT AND BEACH CLUB,Left,,Result below detection limit
050508BH10,05/05/2008,SOUTH BEACH,Left,28.0,MPN/100 ml
092109GR04,09/21/2009,MORRIS YACHT AND BEACH CLUB,Left,4.0,MPN/100 ml
080410GR10,08/04/2010,ROCKAWAY BEACH 9TH - 13TH,Center,8.0,MPN/100 ml
042809GR03,04/28/2009,TRINITY DANISH YOUNG PEOPLE'S SOCIETY,Right,,Result below detection limit
082813CP02,08/28/2013,ROCKAWAY BEACH 15TH - 22TH,Center,8.0,MPN/100 ml
082807BH09,08/28/2007,MIDLAND BEACH,Right,,Result below detection limit
072811KB04,07/28/2011,MIDLAND BEACH,Left,,Result below detection limit
072312GR16,07/23/2012,SCHUYLER HILL CIVIC ASSOCIATION,Left,8.0,MPN/100 ml
082913KB06,08/29/2013,BEECHHURST PROPERTY OWNERS ASSOCIATION,Right,28.0,MPN/100 ml
072511KB16,07/25/2011,CONEY ISLAND WEST 16TH - WEST 27TH,Center,,Result below detection limit
080414GR15,08/04/2014,SEAGATE BEACH - 38TH STREET,Center,8.0,MPN/100 ml
071409IM12,07/14/2009,DANISH AMERICAN BEACH CLUB,Right,8.0,MPN/100 ml
082012KB13,08/20/2012,MORRIS YACHT AND BEACH CLUB,Left,4.0,MPN/100 ml
071708IM02,07/17/2008,TRINITY DANISH YOUNG PEOPLE'S SOCIETY,Center,4.0,MPN/100 ml
061907GR08,06/19/2007,ROCKAWAY BEACH 23RD - 59TH,Center,,Result below detection limit
062909SG06,06/29/2009,MIDLAND BEACH,Left,4.0,MPN/100 ml
081709GR15,08/17/2009,SEAGATE BEACH - 38TH STREET,Center,,Result below detection limit
090412KB05,09/04/2012,WHITESTONE BOOSTER CIVIC  ASSOCIATION,Center,24.0,MPN/100 ml
072413GR27,07/24/2013,MANHEM BEACH CLUB,Center,16.0,MPN/100 ml
080910GR07,08/09/2010,KINGSBOROUGH COMMUNITY COLLEGE,Left,52.0,MPN/100 ml
050614KB04,05/06/2014,WHITESTONE BOOSTER CIVIC  ASSOCIATION,Left,4.0,MPN/100 ml
071811GR13,07/18/2011,TRINITY DANISH YOUNG PEOPLE'S SOCIETY,Center,,Result below detection limit
050311KB14,05/03/2011,MORRIS YACHT AND BEACH CLUB,Center,,Result below detection limit
070810GR04,07/08/2010,ROCKAWAY BEACH 116TH - 126TH,Center,36.0,MPN/100 ml
070212GR11,07/02/2012,CONEY ISLAND BR. 6TH - OCEAN PKWY,Center,8.0,MPN/100 ml
062512GR09,06/25/2012,TRINITY DANISH YOUNG PEOPLE'S SOCIETY,Right,52.0,MPN/100 ml
080613GR09,08/06/2013,AMERICAN TURNERS,Right,4.0,MPN/100 ml
090705BH19,09/07/2005,TRINITY DANISH YOUNG PEOPLE'S SOCIETY,Right,8.0,MPN/100 ml
062209KB09,06/22/2009,MIDLAND BEACH,Right,24.0,MPN/100 ml
051005TM16,05/10/2005,WHITE CROSS FISHING CLUB,Left,10.0,MPN/100 ml
090606BH07,09/06/2006,MANHEM BEACH CLUB,Left,36.0,MPN/100 ml
070113KB13,07/01/2013,SOUTH BEACH,Left,4.0,MPN/100 ml
090111KB01,09/01/2011,SOUTH BEACH,Left,130.0,MPN/100 ml
072109GR18,07/21/2009,SEAGATE BEACH - 42ND STREET,Center,,Result below detection limit
090810GR06,09/08/2010,WHITE CROSS FISHING CLUB,Right,8.0,MPN/100 ml
042015GR04,04/20/2015,MANHATTAN BEACH,Left,20.0,MPN/100 ml
042913GR04,04/29/2013,MANHATTAN BEACH,Left,4.0,MPN/100 ml
051215AW01,05/12/2015,WHITESTONE BOOSTER CIVIC  ASSOCIATION,Left,,Result below detection limit
071205SI06,07/12/2005,ROCKAWAY BEACH 95TH - 116TH,Center,,Result below detection limit
080415GR15,08/04/2015,MANHEM BEACH CLUB,Right,20.0,MPN/100 ml
062308BH05,06/23/2008,WOLFE'S POND PARK,Center,,Result below detection limit
051407EL15,05/14/2007,SEAGATE BEACH - 42ND STREET,Center,4.0,MPN/100 ml
082608IM16,08/26/2008,SCHUYLER HILL CIVIC ASSOCIATION,Left,,Result below detection limit
052411SG17,05/24/2011,SCHUYLER HILL CIVIC ASSOCIATION,Center,4.0,MPN/100 ml
080105SI05,08/01/2005,MIDLAND BEACH,Center,4.0,MPN/100 ml
050205BH11,05/02/2005,CONEY ISLAND WEST 16TH - WEST 27TH,Center,9.9,MPN/100 ml
062612GR11,06/26/2012,CONEY ISLAND BR. 6TH - OCEAN PKWY,Center,4.0,MPN/100 ml
082514CP04,08/25/2014,SI YMCA OF GREATER NEW YORK,Center,4.0,MPN/100 ml
071514CP17,07/15/2014,SOUTH BEACH,Right,52.0,MPN/100 ml
062414GR08,06/24/2014,AMERICAN TURNERS,Center,4.0,MPN/100 ml
071111KB27,07/11/2011,CEDAR GROVE,Center,,Result below detection limit
082712KB06,08/27/2012,WHITESTONE BOOSTER CIVIC  ASSOCIATION,Right,4.0,MPN/100 ml
082415KB15,08/24/2015,SOUTH BEACH,Right,,Result below detection limit
090211GR04,09/02/2011,SCHUYLER HILL CIVIC ASSOCIATION,Left,4.0,MPN/100 ml
052405TM16,05/24/2005,WHITE CROSS FISHING CLUB,Left,40.0,MPN/100 ml
060210KB15,06/02/2010,MORRIS YACHT AND BEACH CLUB,Right,4.0,MPN/100 ml
060606IM06,06/06/2006,ORCHARD BEACH,Right,,Result below detection limit
072015CP13,07/20/2015,MIDLAND BEACH,Center,,Result below detection limit
071508GR05,07/15/2008,ROCKAWAY BEACH 95TH - 116TH,Center,,Result below detection limit
042710KB11,04/27/2010,WEST FORDHAM STREET ASSOCIATION,Center,44.0,MPN/100 ml
083011IM09,08/30/2011,AMERICAN TURNERS,Right,110.0,MPN/100 ml
062711KB11,06/27/2011,MIDLAND BEACH,Center,,Result below detection limit
